Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Contact Number of Internship Supervisor,Work Email of Internship Supervisor,Workplace Address,What is the project's research category?,Area of Discipline(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Few-Shot Prompt Learning with Foundation AI Models,"Foundation AI models, e.g.  SAM, are created by training deep networks with unprecedented scales on orders of magnitudes larger datasets, demonstrating superior capability of zero-shot and robustness. Nevertheless, many downstream tasks are not fully addressed, e.g. segmenting out defect regions for industrial inspection is still not full addressed by segment-anything (SAM) model due to the ambiguity of semantics. In this project, we aim to adapt the model with a handful of examples. This research will have a significant impact of the paradigms of building industrial visual inspection systems.","'- The candidate will gain hands-on experience on building deep learning models on modern GPU clusters. 
- The candidate will gain hands-on experience on prompt learning for foundation AI models.
- The candidate will prepare a submission to top AI conferences or journals.","'- The candidate will develop few-shot prompt learning algorithms and implement with PyTorch
- The candidate will benchmark different algorithms on industrial defect inspection datasets
- The candidate will prepare a report for submission to top AI conferences or journals","'- Hands-on experience with Python
- Good knowledge of calculus, linear algebra, statistics
- Better to have knowledge of machine learning, pattern recognition and/or image processing","'- Develop python/pytorch code for experiment evaluations
- Record experiment results for analysis",I2R,Machine Intellection,Xu Xun,6583410985,xux@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine-tuning of LLMs for domain-specific applications,"The emergence of large language models (LLMs) has propelled AI into a new era of progress and excitement. However, while ""vanilla"" LLMs are well fit for basic tasks, they often perform poorly on tasks that require deeper knowledge of the domain. In such cases, it may be required to ""fine-tune"" the model through the use of specially curated datasets. In this project, we will fine-tune large language models for a specific domain.","'- Basic understanding of large language models and how to fine-tune them
- Curating dataset to fine-tune large language models
- Assessing performance of fine-tuned large language models and proposing further enhancements",Students will be expected to conduct basic literature review and programming,Programming skills are required. Experience with python programming is preferred.,"Basic literature review of the field and reading of materials
Discussion with supervisor and team on approaches for fine-tuning the large language models for the application
Coding and fine-tuning of LLM
Reporting of finding and activities",IHPC,Computing and Intelligence,Ricardo Shirota Filho,6581991201,ricardo_shirota_filho@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore, 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forensic deep fake detection,"This project aims to develop technologies and tools to detect deep fake from media sources for forensic applications. The works will be based on existing solution which achieved top 1% solution at AISG media trusted challenge. The student can take parts in one of major modules related to possible fake in audio, video, or audio-video sync. He or she can also choose to contribute to one or few of following tasks: a) algorithm developments, b) algorithm optimization, c) data processing and evaluation, d) system implementation.","Data processing for deep learning training
(or) Fundamental of deep fake detection
 (or) Deep learning cloud based solution","Roles: assist project members in the project tasks
Responsibilities: execute the assigned tasks on time, inform the supervisors if getting problems in executions","Experiences in python/pytorch, C++/REST and/or knowledge in deep learning","The student can also choose to contribute to one or few of following tasks: a) algorithm developments, b) algorithm optimization, c) data processing and evaluation, d) system implementation.",I2R,Aural & Language Intelligence,Tran Huy Dat,+6592783170,hdtran@i2r.a-star.edu.sg,"01 Fusionopolis Way, Connexis South Tower, S08-04",Computing & Information Sciences,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional annotation of Skin Fungus Malassezia,"Malassezia is the dominant fungal species on all human skin, healthy and diseased. They are associated with skin diseases ranging from dandruff, eczema, atopic dermatitis to adenocarcinoma. However, the actual biology is unclear as this organism is poorly studied. But association is clear as the application of antifungal on 90% of the dandruff sufferers show improvement. A well annotated genome will ensure a more reliable transcriptomic analyses. This project aims to functionally annotate Malassezia genomes using bioinformatics and data analytic tools.","1. Perform literature search to understand the features of genome annotation 
2. Learning bioinformatics tools and perform the annotation 
3. Validate the accuracy of the genome manually and using pipelines and softwares","1. Team player within scientific lab
2. Collaborate with other lab members
3. Perform work independently and diligently","•	Undergraduate in Computer Science, Computer Engineering, Data Analytics, Statistics
•	Good programming skills in Matlab, Python, R or C++
•	Good interpersonal skills and creativity
•	Background in biology or molecular biology is a plus","1. Perform literature search to understand the features of genome annotation 
2. Learning bioinformatics pipelines for fungal annotation 
3. Generation of the genome assembly  
4. Report writing/documentation",BII,Computational Biology & Omics,Kumar Selvarajoo,6596528640,kumar_selvarajoo@bii.a-star.edu.sg,"30 Biopolis St, Matrix 07-01, S(138671)",Computing & Information Sciences,Applied Mathematics;Bioinformatics;Computer Science;Computer & Software Engineering;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generative AI,"The advent of machine learning (ML) has revolutionized and fostered many engineering solutions. However, there are quite several intriguing and demanding aspects of generative AI that are yet to be fully explored. In this project, we endeavor to investigate and propose generative algorithms for inverse design, autonomous clustering, continual learning and time-series analysis.",Substantial outcome from the project will be submitted to high-impact journals/conferences. This internship position provides you with an excellent platform to make the most of research.,"You will work with a small team of data scientists/engineers to develop a novel generative model for automatic data processing techniques to improve classification/clustering/forecasting performance. These duties are not limited to, gathering, sampling, processing and analyzing experimental data, developing Python codes of advanced ML and preparing manuscripts, collaborating with other members of the research team and interacting with other staff here at A*STAR.","1) Ability to develop prototypes to demonstrate the feasibility of research ideas
2) Good knowledge on machine learning in solving real-world problems
3) Proficient in Python (added skill in PyTorch)
4) Good team player",Implementation of generative AI algorithms for inverse design/autonomous clustering/continual learning/time-series analysis.,I2R,Machine Intellection,Senthilnath Jayavelu,6581842144,j_senthilnath@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis (South Tower), Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Analytics of Clinical Health Data,"The project aims to design and implement a graph database for clinical health data. Data variables will be modelled as nodes in a graph and the relationships between the data variables will be modelled as links between the nodes. Using pattern matching, the graph will be queried to extract and analyse the structure of the data, thereby gaining insights into the connections, patterns and trends between multimodal time-series datasets.","Students will experience different methods and tools involved in analysing clinical health data using a graph database. They will perform data modelling, visualisation and querying to explore relationships between graphically connected clinical health data. Students will also practice time management, goal setting, and communication skills.","Student will plan and propose timeline and weekly tasks to be completed during the internship period. Student will have weekly online meetings with supervisor to monitor goals and update on tasks. Student to prepare weekly update document to share with supervisor. At the end of the internship, the student will submit all documentation and code to supervisor and hold a final presentation for the team.","Programming skills, knowledge of data structures, interest in research","A.	Orientation: Complete the Collaborative Institutional Training Initiative (CITI) Program certification for human subjects research and ethics. Gain access to data, understand and explore dataset. Learn Graph Query Language and Graph Database Toolkit
B.	Create Dataset: Design graph data model. Develop scripts to create a graph database
C.	Define research questions: Apply concepts found in related research papers using graph data-bases to explore longitudinal clinical data
D.	Analyse patient trajectories using graph data analysis: Query graph database to answer research questions
E.	Finalize report and present findings",I2R,Machine Intellection (MI)/ Health MedTech division (HM),Helen Mojisola Erdt,6584040269,helen_erdt@i2r.a-star.edu.sg,"1 Fusionopolis Way, #11-42, Connexis North Tower, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human-robot interaction on social intentional stance,"Intentional Stance is the strategy that people use to explain and predict others’ behaviour with reference to mental states, such as beliefs, desires, and intentions. This strategy is typically assumed toward other humans. As robots are providing a growing range of services in our daily life, understanding of the intentional stance that human takes towards robot aids the design of future socially assistive robots. This project explores the human's potential adoption of intentional stance towards robots and the cultural differences that may impact on such implicit strategy.",Understand how social psychology impacts robot design and how to carry out human-robot interaction experiments.,Assist scientist and/or engineer to carry out experiments and data analysis.,"Basic programming knowledge;
Engineering, computer science and/or social psychology background is preferred.","Student will be involved principally in the experimental interaction with the human subjects, data collection and analysis.",I2R,Robotics and Autonomous Systems,Wu Yan,+6581824026,wuy@i2r.a-star.edu.sg,"Fusionopolis One, Singapore 138632",Computing & Information Sciences,"Data Analysis, Design Thinking, Engineering Design, Engineering Principles, Project Management, Research Methodologies, Computer Engineering, Electrical & Electronic Engineering, Electrical Engineering, Engineering Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification of microbial species in a metagenome,"Our gut metagenome has a huge influence on our health, well-being and ageing. Here we plan to develop a new AI-based method for the detection of all species present in the sample using sequencing data.","1. Work with Pythorch
2. intermediate level of practical AI
3. Knowledge of working with real data
4. Experience working in a research environment","1.  Understanding sequenced data
2.  Data preparation and cleaning
3.  Development of own module
4. Testing and reporting","1. Computer science student
2. Knowledge of Python
3. Basic knowledge of machine learning","Student will be involved in all parts of the project activities, including data preparation, developing its own module in PyTorch, working with the GitHub version system, testing and reporting",GIS,Ai in Genomics,Mile Sikic,6582434173,mile_sikic@gis.a-star.edu.sg,"60 Biopolis Street, #02-01 Genome, Singapore 138672",Computing & Information Sciences,Bioinformatics;Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifying Cancer Subtypes via Machine Learning,"The advent of multi-omics datasets encompassing gene expression, DNA methylation, and copy number variation data provides a wealth of information for deciphering the heterogeneous nature of ovarian cancer. This study employs sparse canonical correlation analysis (SCCA) to identify molecular subtypes of ovarian cancer by integrating multi-omics datasets with clinical biomarkers. We expect to identify novel molecular subtypes of ovarian cancer and interplay among tumor microenvironment markers, omics data, and clinical outcomes, ultimately to pave the way for personalized treatment strategies.","1. Learn to do research on real scientific/medical problems
2. Learn the principles and usage of machine learning models to understand biological omics
3. Gain valuable work experience applying fundamental knowledge","1. Collecting multi-omics datasets and clinical variables from a cohort of ovarian cancer
patients and ensure data quality and integrity.
2. Using SCCA to identify sparse sets of variables that are highly correlated across different
datasets and clinical outcomes and defining molecular subtypes of ovarian cancer based on
these sets of variables.
3. Validating the identified molecular subtypes in independent cohorts of ovarian cancer
patients and assessing their clinical significance and association with patient outcomes.","•	Undergraduate in Mathematics, Computer Science, Computer Engineering, Data Analytics, Statistics, Bioinformatics
•	Good programming skills in Matlab, Python, R or C++
•	Good interpersonal skills and creativity
•	Background in biology or molecular biology is a plus","1. Identification of molecular subtypes of ovarian cancer based on multi-omics datasets using
SCCA and do Validation of the identified molecular subtypes in independent cohorts of
ovarian cancer patients.
2. Identification of a small number of genes or other molecular features that are highly
predictive of patient outcome, enabling the development of personalized treatment
approaches.
3. Report writing and possible publication of the results in a peer-reviewed journal.",BII,Computational Biology & Omics,Kumar Selvarajoo,6596528640,kumar_selvarajoo@bii.a-star.edu.sg,"30 Biopolis St, Matrix 07-01, S(138671)",Computing & Information Sciences,Applied Mathematics;Bioinformatics;Computer Science;Computer & Software Engineering;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor Sound Quality of Naturally Ventilated Rooms,"In naturally ventilated rooms, excessive outdoor noise may cause disturbance to the occupants. In classrooms, students may lose focus. In hospital wards, patients may not recuperate well. Therefore, there is a need to manage noise exposure in naturally ventilated rooms. This project aims to systematically review the state-of-the-art and identify ways that can evaluate and improve the indoor sound quality of naturally ventilated rooms.","• Equipped with knowledge in environmental and room acoustics.
• Equipped with experience in scientific paper writing.
• Equipped with Python programming language.
• Potential co-authorship of a scientific paper.",Achieve the deliverables listed in the job description within the internship timeframe.,"• Strong interest in environmental and room acoustics (on-the-job training).
• Strong interest in Python programming (on-the-job training through e-courses).
• Positive and self-motivated learning attitude.
• Have access to the University e-library for scientific papers and books so that literature review can be done.","• Perform systematic literature review relating to the indoor sound quality of naturally ventilated rooms.
• Summarise the different ways of evaluating indoor sound quality.
• Develop Python codes for indoor sound quality evaluation.
• Perform numerical studies if any.
• Submit a final report documenting the above deliverables.
• Contribute to scientific paper writing based on the literature review.",IHPC,Engineering Mechanics,Ang Yinn Leng Linus,+6591398357,linus_ang@ihpc.a-star.edu.sg,"1 Fusionopolis Way, Connexis, Singapore 138632",Engineering & Technology,Environmental Engineering;Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information extraction from form-like documents,"COVID-19 accelerates digitalization of industries. It includes changing from human-friendly documents (e.g. PDF) to machine-readable data. For instance, information extraction from scanned images of receipts and bills (e.g. date, product, price) can help improve the efficiency of business workflows. In this project, we will adopt the latest techniques of deep learning for multi-modal data analytics to utilize both texts and their positions.",Learn about natural language processing and multi-modal data analytics (text+layout),"Programming, evaluation, report","Deep learning (esp. Pytorch); preferably, natural language processing","Pre-processing labelled data of information extraction from PDF documents, adopting and evaluating latest methods of multi-modal data analytics against the data, and if time allows, trying to improve the methods",I2R,Machine Intellection,Jung-jae Kim,+6582184122,jjkim@i2r.a-star.edu.sg,"1 Fusionopolis Way, #20-10",Computing & Information Sciences,"Artificial Intelligence, Computing Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Robotics System with Deep Learning,"This project is to develop and research on the intelligent robotics systems, which requires the capabilities of environment/scene perception, understanding, and decision making, so that the robot can have the intelligence as human to handle task uncertainties autonomously with adaptability. For achieving those capability, artificial intelligence and deep learning can play an important role to replace the traditional human-designed feature engineering and embody the robot agent with perception, reasoning, and self-learning abilities to adapt with new environment and task changes. ","1, Understand the 2D/3D perception and computer vision
2, Be familiar with deep learning frameworks such as TensorFlow, Pytorch, etc.
3, Programming experience on Linux platform using Python or C++, etc.
4, Programming experience on Robot Operating System (ROS)","During this internship, the students will have the opportunity to participate in the research projects on intelligent robotics and will have hand-on trainings on multiple fields in robot related areas, e.g. Linux/Robot Operating System (ROS) programming, deep learning frameworks (TensorFlow, Pytorch, etc.), computer vision, etc.","1, Basic experience on programming languages such as Python, C++
2, Knowledges and experience on machine learning and deep learning is preferred.
3, Willing to learn and explore interesting new things
4, Highly motivated and able to work with critical thinking","1, Conduct programming to realize the new AI and robotics algorithms 
2, Deploy solution on real robot using various platforms such as ROS, etc.
3, Explore new methods to optimize the solutions
",SIMTech,Adaptive Robotics and Mechatronics Group,Zhu Haiyue,+6593458612,zhu_haiyue@simtech.a-star.edu.sg,"2 Fusionopolis Way, Singapore 138634",Computing & Information Sciences,Computer Science;Computer & Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpretable Reinforcement Learning,"The student supposed to contribute in an interpretable reinforcement learning algorithm development, while validating its performance in different demo examples. The target here is to replace a neural network based function approximator by a symbolic regressor in an actor-critic framework. If the student can generate impactful results, then there is a high chance that the research will get published in a top-tier AI conference.","1) Develop an interpretable reinforcement learning algorithm.
2) Generate sufficient results and performance evaluations to validate the effectiveness.
3) Draft a paper for submitting to a top tier AI conference.","1) Develop few blocks of codes for algorithmic improvement.
2) Test and validate the code on sufficient examples (demos).
3) Generate impactful results and draft a paper.","1) Good knowledge on data analytics/machine learning/data mining, and experiences in solving real-world data science problems.
2) Proficient in Python (added skill in PyTorch, TensorFlow, Keras).
3) Preliminary concepts on Reinforcement Learning",Developing interpretable Reinforcement Learning algorithm and validate its performance on sufficient examples.,I2R,Machine Intellection,Senthilnath Jayavelu,6581842144,j_senthilnath@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis (South Tower), Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is AI Modelling for Green Environment Green?,Student will read literature on current state-of-the-art methods for assessing carbon emissions from AI model training and AI model inference. They will then apply it to a model dataset and assess the impact of various methods and algorithms on the carbon emissions from this model problem.,"1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student should be able to explain how machine learning models such as neural networks work, and be able to write code to implement said techniques. This should be transferable skills for any future projects the
student might be interested in.
3. The student will also learn to read literature and think more deeply about carbon emissions from AI models.","1) Literature review
2) Write and train an ML model for a simple model system
3) Assess carbon emissions for different kinds of ML models for this model system","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data analytics/engineering.","1) Literature review
2) Training ML models for a simple model system
3) Implementing/adapting code to assess carbon emissions for different kinds of ML models",CFAR,CFAR,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,Aerospace Engineering;EEE ;Environmental Engineering;Electrical Engineering;Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live AI music show,"In this project we develop a novel AI-driven music show which will be served in coming Metaverse. In the show, the users will use voices to communicate with virtual AI singers. They will order song, give comments, and have direct interactions with virtual players. The key technologies will be automatic speech recognition (ASR), music and singing voice synthesis (SVC). We will focus on South East Asian (SEA) voices. The student can choose to contribute to one or few tasks from following list :(1)- data preparation for deep learning training, (2)- fine-tuning of ASR, (3) fine-tuning of SVC.",Annotation of speech and music data. Preparation for big data deep learning training. Developments of Automatic Speech Recognition. Developments of Singing Voice Synthesis.,"Help supervisor(s) in data preparation, model training, fine-tuning and evaluation. Novel ideas are welcomed.",Experiences in data preparation and/or experiences in deep learning training are preferable but not compulsory,"The student can choose to contribute to one or few tasks from following list :(1)- data preparation for deep learning training, (2)- fine-tuning of ASR developments, (3) fine-tuning of SVC developments.",I2R,Aural & Language Intelligence,Tran Huy Dat,+6591783170,hdtran@i2r.a-star.edu.sg,"01 Fusionopolis Way, Connexis South Tower, S08-04",Computing & Information Sciences,"Artificial Intelligence, Computing Engineering, Digital Innovation, Software Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM based Maritime event detection and extraction,"the project aims to leverage LLMs (chatgpt) to prepare training data based on collaborator domain expertise, and then leverage LLMs to fine tune a maritime domain event detection and extraction, which can be further developed for different use cases, which may include other NLP tasks like question/query retrieval and question understanding and so on.","student can learn nlp techniques and practice on leverage LLM for data processing, research and implementations.","students are required to do data processing by leveraging LLMs, and other NLP skills like question understanding and query retrieval.","familiar with NLP domain,  machine learning,  good at Python.","Student will need to conduct research, gathering data, performing experiments, designing prototypes, writing code, creating visualizations, or preparing project documentation.",I2R,ALI,Zhou Nina,6597524343,zhoun@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01, Connexis South Tower, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning for Blood Viscosity & Cell Deformation,"The complex dynamics of cell motion & deformation
are important in many microfluidics and cell
biomechanics applications. These dynamics depend
on parameters such as fluid viscosity ratio, shear rate
and cell membrane properties. The resultant inter-cell
interactions impact hydrodynamic diffusion and
viscosity. Current numerical models fully resolve each
cell which is expensive, or use simplified transport &
rheological properties, which can be inaccurate. This
project will use machine learning to infer more accurate
blood viscosity and cell properties for improved
modelling.","1. Student will acquire experience working with widely
used general purpose scripting languages such as
Python and Tensorflow.
2. Student should be able to explain how machine
learning models such as neural networks work, and be
able to write code to implement said techniques. This
should be transferable skills for any future projects the
student might be interested in.
3. The student will also learn to run and interpret
numerical simulation results (computational fluid
dynamics in this project).","1) Literature review
2) Processing and analysis of numerical simulation
results for a single cell and suspension of cells at
different shear rates in flow
3) Write and train an ML model to predict deformation
for a single cell for different shear rates in flow
4) Write and train an ML model to predict viscosity for a
suspension of blood cells at different shear rates in
flow","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data analytics/engineering.","1) Literature review
2) Processing and analysis of numerical simulation
results for a single cell and suspension of cells at
different shear rates in flow
3) Write and train an ML model to predict deformation
for a single cell for different shear rates in flow
4) Write and train an ML model to predict viscosity for a
suspension of blood cells at different shear rates in
flow",IHPC,Fluid Dynamics,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"1 Connexis North, Fusionopolis",Engineering & Technology,"Aerospace Engineering, Bioengineering, Biomedical Engineering, Chemical & BioMolecular Engineering, Chemical Engineering, Computer Engineering, Electrical & Electronic Engineering, Electrical Engineering, Engineering Science, Materials Science & Engineering, Mechanical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine learning for robot tactile perception,"This project explores the idea of recognition object properties through robot action similar to what human is capable of. A range of objects varying in sizes, shapes, appearance and contents (i.e. half-full bottle vs full bottle) will be used to construct a database of tactile sensory information from grasping. A number of simple machine learning approaches to classify the object properties will be used to provide baseline results. Student can also explore and propose further methods to improve the classification results.",Student will be familiar with machine learning application in the area of tactile perception in robotics.,Assist scientist and engineers in the completion of the aforementioned tasks.,"Proficiency in programming;
Basic knowledge of machine learning and/or robotics is preferred","Successful student will be involved in the design, implementation and/or validation of the learning algorithms.",I2R,Robotics and Autonomous Systems,Wu Yan,+6581824026,wuy@i2r.a-star.edu.sg,"Fusionopolis One, Singapore 138632",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapping Antenatal Maternal Stress - Child Outcomes,"We aim to investigate the following hypothesis:
-Antenatal and postnatal maternal emotional health independently associates with neurodevelopmental outcomes reflected in direct analysis of brain structure and connectivity, as well as validated measures of cognitive-emotional function across early childhood.
-	Multiple factors, which includes parental genetics, emotional health and parenting styles and perceptions, may act as significant modulators and mediators to the relationship between maternal emotional health and child emotional, cognitive and developmental outcomes.","- Trained to handle neurocognitive and child developmental assessments
- Gain knowledge of research operations and administration","The student will be tasked to
- approach, screen and recruit subjects
- support research operations, logistics
- conduct neurodevelopmental assessments
- perform data cleaning and processing","Psychology, life science or relevant biomedical course 
Able to work on Saturdays or Sundays (one weekday leave in-lieu will be given)
Knowledge of Python, R will be considered favorable","The student will be tasked to
- approach, screen and recruit subjects
- support research operations, logistics
- conduct neurodevelopmental assessments
- perform data cleaning and processing",SICS,Translational Neuroscience,Michelle Kee Zhi Ling,+6584881861,michelle_kee@sics.a-star.edu.sg,"30 Medical, S117609",Biomedical Sciences,Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical speech recognition engine,"In this project, we develop commercial grade speech-to-text engine in medical domain optimized for local and SEA accents. The engine should cover local medical terms and lingo, on top of international terminologies in medicine. The selected student can choose to contribute to one of few of following tasks: a)deep learning training executions; b)medical lexicon developments, c)data processing and evaluation, d)cloud-based hosting","Big data processing for deep learning training
Fundamental of speech-to-text technology
Cloud-based hosting engine","Roles: assist project members in project task execution
Responsibilities: execute assigned tasks on-time. Inform supervisors immediately if getting problems",The students with experiences in audio & speech processing is preferable but not compulsory. Experiences in deep learning training is also a plus. Experiences in medical services is also welcome.,"The selected student can choose to contribute to one of few of following tasks: a)deep learning training executions; b)medical lexicon developments, c)data processing and evaluation, d)cloud-based hosting",I2R,Aural & Language Intelligence,Tran Huy Dat,+6592783170,hdtran@i2r.a-star.edu.sg,"01 Fusionopolis Way, Connexis South Tower, S08-04",Computing & Information Sciences,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML and AI for sustainability report generation,"Sustainability is increasingly important in face of climate change and pressure from governments and society over the role of companies and organisations. Currently, self-reporting of sustainability efforts is the main way to communicate initiatives and goals towards sustainability. However, the preparation of such reports requires a lot of effort, and is subject to varying reporting standards, such as SASB, GRI, TCFD, etc. This project will look into leveraging recent progresses in ML and AI for automatic generation of reports following the main adopted industry standards.","'- Main standards for sustainability and ESG reporting
- Approaches for text generation, including working with large language models
- Programming and coding of software system and integrating AI modules",Students will be expected to conduct basic literature review and coding for the system,Some level of programming skills is desired. Experience with python programming  is preferred.,"Basic literature review of the field and reading of materials
Discussion with supervisor and team on approaches and design of machine learning pipeline
Coding and implementation of modules
Reporting of finding and activities",IHPC,Computing and Intelligence,Ricardo Shirota Filho,6581991201,ricardo_shirota_filho@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore, 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-agent RL for collaborative decision making,"Multi-agent reinforcement learning (MARL) is a recent development that enables multiple agents to act cooperatively when they all pursue a common goal, and it relies on decentralized execution. The MARL network learns correlations between multiple agent actions towards maximizing a joint reward. From individual action and observation inputs.",Substantial outcome from the project will be submitted to high impact journals/conferences. This internship position provides you with an excellent platform to make the most of research.,"You will work with a small team of data scientists and data engineers to develop the MARL methodology to accelerate high quality decision making. These duties are not limited to, gathering, sampling, processing and setting up simulation environment, developing python codes of MARL in complex simulation environment and preparing manuscripts, collaborating with other members of the research team, interacting with other staff here at A*STAR. This internship position provides you with an excellent platform to make the most of research.","1) Ability to develop prototypes to demonstrate the feasibility of research ideas 
2) Good knowledge on machine learning (added skill in Reinforcement Learning) in solving real-world problems 
3) Proficient in Python (added skill in PyTorch)
4) Team player.",Implementation of multi-agent reinforcement learning on complex simulation environment to exhibit high quality decision making.,I2R,Machine Intellection,Senthilnath Jayavelu,6581842144,j_senthilnath@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis (South Tower), Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Axis Sensors for Human and Robot Locomotion,"To explore the use of novel bimodal hemispherical sensors on legged robots as well as in wearables or prosthesis. By having these force sensors at the end of the robot's feet, they would be better equipped to understand their surroundings and perform agile motions. Similarly, having these force sensors in wearable smart shoes could aid in sports/rehabilitation analytics or in the future development of feet prosthesis for improved locomotion and gait.","Students will explore the latest in machine learning techniques for time series analysis such as GRUs and transformers would be employed to improve the sensor performance, especially with time-dependent properties such as stress relaxation. Alternative sensor geometries would be explored for different applications such as robotic grippers.",Student will be responsible for familiarizing themselves with existing framework for working with time-series data and data collection with new sensor geometries.,Familiarity with Python programming and machine learning (e.g. PyTorch) is ideal.,Student will be responsible for familiarizing themselves with existing framework for working with time-series data and data collection with new sensor geometries.,I2R,Robotics and Autonomous Systems (RAS),Michael Chuah,+6587543540,michael_chuah@i2r.a-star.edu.sg,"1 Fusionopolis Way, Connexis, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-exposed Stereo Imaging for Robust 3D Vision,"Real-world scenes are 3D with high dynamic range (HDR), which cannot be well captured by a single image. In this project, we propose a unique solution for 3D stereo imaging which can capture HDR scene for 3D computer vision and perception.  Outcomes of this project will have broad applications in security, computational photography, augmented reality, robotics, 3D reconstruction, etc.","The students would be trained for 3D computer vision and AI, including but not limited to high dynamic range imaging ,stereo matching, semantic segmentation, object detection etc.","The students would help to develop and train the deep learning model;
The students would need to validate the model with newly collected datasets.","Knowledge in deep learning, python coding","The students would help to develop the stereo matching model under the supervision of the project PI.
The students would need to validate the model in real-world environments;
The students would be expected to summarize the work and write academic papers if possible.",I2R,Machine Intellection,Cheng Jun,+6581237664,cheng_jun@i2r.a-star.edu.sg,"1 Fusionopolis Way, 21-01, 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
